storm,wind,RI,shear
8.0,45.0,0.0,26.30530548095703
8.0,45.0,0.0,28.17046546936035
8.0,45.0,0.0,29.393939971923828
8.0,50.0,0.0,30.9956111907959
8.0,55.0,0.0,32.28064727783203
8.0,60.0,0.0,32.77468490600586
8.0,65.0,0.0,31.37201499938965
8.0,65.0,0.0,30.373220443725586
8.0,65.0,0.0,27.251455307006836
8.0,60.0,0.0,26.843849182128906
8.0,55.0,0.0,21.552471160888672
8.0,55.0,0.0,18.370515823364258
8.0,55.0,0.0,18.40849494934082
8.0,50.0,0.0,21.148941040039062
8.0,50.0,0.0,25.720684051513672
8.0,50.0,0.0,26.571516036987305
8.0,50.0,0.0,23.891691207885742
8.0,50.0,0.0,20.548906326293945
8.0,50.0,0.0,18.33637046813965
8.0,45.0,0.0,17.844451904296875
8.0,45.0,0.0,16.910686492919922
8.0,45.0,1.0,14.270601272583008
8.0,55.0,1.0,12.090909004211426
8.0,65.0,1.0,14.724411010742188
8.0,75.0,1.0,13.24170207977295
8.0,75.0,0.0,8.397680282592773
8.0,70.0,0.0,12.478608131408691
8.0,65.0,0.0,8.449326515197754
8.0,55.0,0.0,8.720157623291016
8.0,55.0,0.0,11.70691967010498
8.0,55.0,0.0,12.922091484069824
8.0,55.0,0.0,15.392670631408691
8.0,55.0,0.0,16.79181671142578
8.0,55.0,0.0,12.615185737609863
8.0,70.0,0.0,8.645712852478027
9.0,50.0,1.0,5.362612247467041
9.0,60.0,1.0,5.485889911651611
9.0,70.0,1.0,6.650660037994385
9.0,85.0,1.0,6.527546405792236
9.0,95.0,1.0,5.407227039337158
9.0,110.0,1.0,5.238656520843506
9.0,130.0,1.0,6.726597785949707
9.0,120.0,0.0,9.089034080505371
9.0,115.0,0.0,13.104745864868164
9.0,110.0,0.0,15.254796981811523
9.0,95.0,0.0,17.361120223999023
9.0,85.0,0.0,17.578258514404297
9.0,75.0,0.0,18.79922866821289
9.0,60.0,0.0,21.195026397705078
